time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl
50176,1001.02,-156400.02077620002,521,96,49,3906359.5,-0.0021519095258554443,480,-7.124383038282394,0.0003,0.00029296875,1.006718635559082,-1.1920928955078125e-07,0.2,8448053.65,0.0022039572
51200,1001.0196078431372,-156510.94475756865,532,96,50,4248526.5,-0.0020632276457035912,490,-7.129113954305649,0.0003,0.00185546875,1.007054090499878,-1.1920928955078125e-07,0.2,7851937.05,0.002514449
52224,1001.0192307692307,-156682.3894627308,543,96,51,4064210.25,-0.0019602034968556835,500,-7.128403443098068,0.0003,0.0,1.0065672397613525,-1.1920928955078125e-07,0.2,7877704.15625,0.0018826807
53248,1001.0188679245283,-157161.32741975473,553,96,52,3928049.0,-0.005768681413610466,510,-7.12758783698082,0.0003,0.01826171875,1.0067304372787476,0.0,0.2,7493052.16875,0.0056946855
54272,1001.0185185185185,-157061.78977201856,564,96,53,4762760.0,-0.0011836295743705705,520,-7.129536187648773,0.0003,0.0,1.0074514150619507,0.0,0.2,9656302.86875,0.0009480285
55296,1001.0181818181818,-157912.03544260003,574,96,54,3871371.5,-0.0037672349193599076,530,-7.130909025669098,0.0003,0.00263671875,1.0070455074310303,-2.384185791015625e-07,0.2,8174822.225,0.003687872
56320,1001.0178571428571,-158201.4162785714,585,96,55,6047735.5,-0.0011882777384016664,540,-7.126981031894684,0.0003,0.0,1.0060088634490967,-5.245208740234375e-06,0.2,12400925.6125,0.0005839397
57344,1001.0175438596491,-158133.52108161402,596,96,56,5526353.5,-0.002507109017460607,550,-7.125388288497925,0.0003,0.0005859375,1.0065890550613403,-8.344650268554688e-07,0.2,10599701.925,0.0019720194
58368,1001.0172413793103,-158400.57604018966,606,96,57,3392200.25,-0.0029588489851448685,560,-7.124927484989167,0.0003,0.00029296875,1.0055490732192993,-3.5762786865234375e-07,0.2,7591346.39375,0.0022612342
59392,1001.0169491525423,-159076.51420574574,616,96,58,5424440.0,-0.0029100283223669975,570,-7.125632655620575,0.0003,0.0015625,1.0072921514511108,-5.1856040954589844e-05,0.2,9986959.575,0.0023194256
60416,1001.0166666666667,-159254.2128774333,626,96,59,6741292.5,-0.0011598426877753808,580,-7.133143883943558,0.0003,0.0,1.0082398653030396,-2.384185791015625e-07,0.2,13625548.4,0.0004061716
61440,1001.016393442623,-160103.41805744258,637,96,60,4942831.5,-0.0043081051204353574,590,-7.1353561103343965,0.0003,0.00458984375,1.0080854892730713,0.0,0.2,8909589.08125,0.004135521
62464,1001.016129032258,-160782.4784473064,647,96,61,6433706.5,-0.0012662322726100684,600,-7.135746890306473,0.0003,0.0,1.0087101459503174,-3.5762786865234375e-07,0.2,13240393.3375,0.00065365643
63488,1001.015873015873,-161174.0885694444,657,96,62,7509177.0,-0.0016262013697996736,610,-7.138349729776382,0.0003,0.0,1.0089386701583862,-1.1920928955078125e-07,0.2,13158121.9,0.00090510125
64512,1001.015625,-162364.73720721877,668,96,63,5622308.0,-0.00453843732830137,620,-7.137315952777863,0.0003,0.00439453125,1.0082347393035889,-2.384185791015625e-07,0.2,12234448.95,0.0035389338
65536,1001.0153846153846,-163800.0000128308,678,96,64,9708963.0,-0.003195856278762221,630,-7.134674966335297,0.0003,0.00029296875,1.0080287456512451,-5.960464477539062e-07,0.2,18222127.3875,0.0021175314
